Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Dec 31 2030,PENDLE,0,376413591.06,376413591.06,57494820.00,37422304.00,46000000.00,235496467.06
Dec 30 2030,PENDLE,0,376400989.97,376400989.97,57494820.00,37422304.00,46000000.00,235483865.97
Dec 30 2030,PENDLE,0,376400989.97,376400989.97,57494820.00,37422304.00,46000000.00,235483865.97
Dec 29 2030,PENDLE,0,376388388.88,376388388.88,57494820.00,37422304.00,46000000.00,235471264.88
Dec 28 2030,PENDLE,0,376375787.79,376375787.79,57494820.00,37422304.00,46000000.00,235458663.79
Dec 28 2030,PENDLE,0,376375787.79,376375787.79,57494820.00,37422304.00,46000000.00,235458663.79
Dec 27 2030,PENDLE,0,376363186.71,376363186.71,57494820.00,37422304.00,46000000.00,235446062.71
Dec 27 2030,PENDLE,0,376363186.71,376363186.71,57494820.00,37422304.00,46000000.00,235446062.71
Dec 26 2030,PENDLE,0,376350585.62,376350585.62,57494820.00,37422304.00,46000000.00,235433461.62
Dec 25 2030,PENDLE,0,376337984.53,376337984.53,57494820.00,37422304.00,46000000.00,235420860.53
Dec 25 2030,PENDLE,0,376337984.53,376337984.53,57494820.00,37422304.00,46000000.00,235420860.53
Dec 24 2030,PENDLE,0,376325383.44,376325383.44,57494820.00,37422304.00,46000000.00,235408259.44
Dec 23 2030,PENDLE,0,376312782.35,376312782.35,57494820.00,37422304.00,46000000.00,235395658.35
Dec 23 2030,PENDLE,0,376312782.35,376312782.35,57494820.00,37422304.00,46000000.00,235395658.35
Dec 22 2030,PENDLE,0,376300181.27,376300181.27,57494820.00,37422304.00,46000000.00,235383057.27
Dec 21 2030,PENDLE,0,376287580.18,376287580.18,57494820.00,37422304.00,46000000.00,235370456.18
Dec 21 2030,PENDLE,0,376287580.18,376287580.18,57494820.00,37422304.00,46000000.00,235370456.18
Dec 20 2030,PENDLE,0,376274979.09,376274979.09,57494820.00,37422304.00,46000000.00,235357855.09
Dec 20 2030,PENDLE,0,376274979.09,376274979.09,57494820.00,37422304.00,46000000.00,235357855.09
Dec 19 2030,PENDLE,0,376262378.00,376262378.00,57494820.00,37422304.00,46000000.00,235345254.00
Dec 18 2030,PENDLE,0,376249776.92,376249776.92,57494820.00,37422304.00,46000000.00,235332652.92
Dec 18 2030,PENDLE,0,376249776.92,376249776.92,57494820.00,37422304.00,46000000.00,235332652.92
Dec 17 2030,PENDLE,0,376237175.83,376237175.83,57494820.00,37422304.00,46000000.00,235320051.83
Dec 16 2030,PENDLE,0,376224574.74,376224574.74,57494820.00,37422304.00,46000000.00,235307450.74
Dec 16 2030,PENDLE,0,376224574.74,376224574.74,57494820.00,37422304.00,46000000.00,235307450.74
Dec 15 2030,PENDLE,0,376211973.65,376211973.65,57494820.00,37422304.00,46000000.00,235294849.65
Dec 14 2030,PENDLE,0,376199372.56,376199372.56,57494820.00,37422304.00,46000000.00,235282248.56
Dec 14 2030,PENDLE,0,376199372.56,376199372.56,57494820.00,37422304.00,46000000.00,235282248.56
Dec 13 2030,PENDLE,0,376186771.48,376186771.48,57494820.00,37422304.00,46000000.00,235269647.48
Dec 13 2030,PENDLE,0,376186771.48,376186771.48,57494820.00,37422304.00,46000000.00,235269647.48
Dec 12 2030,PENDLE,0,376174170.39,376174170.39,57494820.00,37422304.00,46000000.00,235257046.39
Dec 11 2030,PENDLE,0,376161569.30,376161569.30,57494820.00,37422304.00,46000000.00,235244445.30
Dec 11 2030,PENDLE,0,376161569.30,376161569.30,57494820.00,37422304.00,46000000.00,235244445.30
Dec 10 2030,PENDLE,0,376148968.21,376148968.21,57494820.00,37422304.00,46000000.00,235231844.21
Dec 09 2030,PENDLE,0,376136367.12,376136367.12,57494820.00,37422304.00,46000000.00,235219243.12
Dec 09 2030,PENDLE,0,376136367.12,376136367.12,57494820.00,37422304.00,46000000.00,235219243.12
Dec 08 2030,PENDLE,0,376123766.04,376123766.04,57494820.00,37422304.00,46000000.00,235206642.04
Dec 07 2030,PENDLE,0,376111164.95,376111164.95,57494820.00,37422304.00,46000000.00,235194040.95
Dec 07 2030,PENDLE,0,376111164.95,376111164.95,57494820.00,37422304.00,46000000.00,235194040.95
Dec 06 2030,PENDLE,0,376098563.86,376098563.86,57494820.00,37422304.00,46000000.00,235181439.86
Dec 06 2030,PENDLE,0,376098563.86,376098563.86,57494820.00,37422304.00,46000000.00,235181439.86
Dec 05 2030,PENDLE,0,376085962.77,376085962.77,57494820.00,37422304.00,46000000.00,235168838.77
