Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved,Community & Other
Oct 25 2033,POL,0,12189944201.26,12189944201.26,1094972100.66,11094972100.60
Oct 24 2033,POL,0,12189289356.02,12189289356.02,1094644678.04,11094644677.98
Oct 24 2033,POL,0,12189289356.02,12189289356.02,1094644678.04,11094644677.98
Oct 23 2033,POL,0,12188634510.77,12188634510.77,1094317255.42,11094317255.36
Oct 22 2033,POL,0,12187979665.53,12187979665.53,1093989832.79,11093989832.74
Oct 22 2033,POL,0,12187979665.53,12187979665.53,1093989832.79,11093989832.74
Oct 21 2033,POL,0,12187324820.29,12187324820.29,1093662410.17,11093662410.11
Oct 20 2033,POL,0,12186669975.04,12186669975.04,1093334987.55,11093334987.49
Oct 20 2033,POL,0,12186669975.04,12186669975.04,1093334987.55,11093334987.49
Oct 19 2033,POL,0,12186015129.80,12186015129.80,1093007564.93,11093007564.87
Oct 18 2033,POL,0,12185360284.55,12185360284.55,1092680142.31,11092680142.25
Oct 18 2033,POL,0,12185360284.55,12185360284.55,1092680142.31,11092680142.25
Oct 17 2033,POL,0,12184705439.31,12184705439.31,1092352719.69,11092352719.63
Oct 16 2033,POL,0,12184050594.07,12184050594.07,1092025297.06,11092025297.00
Oct 16 2033,POL,0,12184050594.07,12184050594.07,1092025297.06,11092025297.00
Oct 15 2033,POL,0,12183395748.82,12183395748.82,1091697874.44,11091697874.38
Oct 14 2033,POL,0,12182740903.58,12182740903.58,1091370451.82,11091370451.76
Oct 14 2033,POL,0,12182740903.58,12182740903.58,1091370451.82,11091370451.76
Oct 13 2033,POL,0,12182086058.34,12182086058.34,1091043029.20,11091043029.14
Oct 12 2033,POL,0,12181431213.09,12181431213.09,1090715606.58,11090715606.52
Oct 12 2033,POL,0,12181431213.09,12181431213.09,1090715606.58,11090715606.52
Oct 11 2033,POL,0,12180776367.85,12180776367.85,1090388183.95,11090388183.89
Oct 11 2033,POL,0,12180776367.85,12180776367.85,1090388183.95,11090388183.89
