Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team (TBD),Reserved (TBD),Community & Other (TBD),Founder / Team,Private Investors,Community & Other
Jul 15 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 15 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 14 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 14 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 13 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 13 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 12 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 12 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 11 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 11 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 10 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 10 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 09 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 09 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 08 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 08 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 07 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 07 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 06 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 06 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 05 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 05 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 04 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 04 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 03 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 03 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 02 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 02 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 01 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 01 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 30 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 30 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
