Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Nov 01 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 31 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 30 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 28 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 27 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 26 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 25 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 23 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 22 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 21 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 20 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 18 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 17 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 16 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 15 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 14 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 12 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 11 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 10 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 09 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 07 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 06 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 05 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 04 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 03 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Oct 01 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 30 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 29 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 28 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 26 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 25 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 24 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 23 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 21 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 20 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 19 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 18 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 17 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 15 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 14 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 13 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 12 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 10 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 09 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 08 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 07 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 05 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 04 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 03 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 02 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Sep 01 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 30 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 29 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 28 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 27 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 25 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 24 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 23 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 22 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 21 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 19 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 18 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 17 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 16 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 14 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 13 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 12 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 11 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 09 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 08 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
Aug 07 2040,GMT,0,5971875000.00,5971875000.00,1002000000.00,978000000.00,420000000.00,1800000000.00,1771875000.00
