Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Aug 31 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 31 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 30 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 30 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 29 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 29 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 28 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 28 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 27 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 27 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 26 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 26 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 25 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 25 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 24 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 24 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 23 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 23 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 22 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 22 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 21 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 21 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 20 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 20 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 19 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 19 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 18 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 18 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 17 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 17 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 17 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 16 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 16 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 15 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 15 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 14 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 14 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 13 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 13 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 12 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 12 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 11 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 11 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 10 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
